Patch;MatchName;MatchId;Winner;BB1;BB2;BB3;BB4;BB5;BP1;BP2;BP3;BP4;BP5;RB1;RB2;RB3;RB4;RB5;RP1;RP2;RP3;RP4;RP5
14.1.551.6434;LOLTMNT99_132785;;0;;;;;;;;;;;;;;;;;;;;
14.1.551.6434;LOLTMNT99_132720;;1;;;;;;;;;;;;;;;;;;;;
14.1.551.6434;LOLTMNT99_131675;;-1;;;;;;;;;;;;;;;;;;;;
14.1.551.6434;LOLTMNT99_131606;;0;;;;;;;;;;;;;;;;;;;;
14.1.551.6434;LOLTMNT99_132509;;1;;;;;;;;;;;;;;;;;;;;
14.1.551.6434;LOLTMNT99_132404;;1;;;;;;;;;;;;;;;;;;;;
14.1.547.8890;LOLTMNT99_127783;;1;;;;;;;;;;;;;;;;;;;;
14.1.547.8890;LOLTMNT99_126859;;0;;;;;;;;;;;;;;;;;;;;
14.1.547.8890;LOLTMNT99_127623;;-1;;;;;;;;;;;;;;;;;;;;
14.1.547.8890;LOLTMNT99_127543;;1;;;;;;;;;;;;;;;;;;;;
14.1.547.8890;LOLTMNT99_126612;;1;;;;;;;;;;;;;;;;;;;;
14.1.547.8890;LOLTMNT99_125474;scrim| EIQ game 4;0;Kalista;Lucian;Varus;Neeko;Syndra;Nocturne;Kaisa;Nautilus;Hwei;Gwen;Rumble;Ashe;Caitlyn;Orianna;Leblanc;Xayah;Rakan;LeeSin;Azir;KSante
14.1.547.8890;LOLTMNT99_124546;scrim| EIQ game 3;1;Nocturne;Naafiri;Caitlyn;Rakan;Alistar;Varus;Akali;JarvanIV;Aatrox;Yone;Rumble;Lucian;Leblanc;Renekton;Azir;Ashe;Rell;LeeSin;Swain;Milio
14.1.547.8890;LOLTMNT99_124452;scrim| EIQ game 2;1;Kalista;Nocturne;Varus;Aatrox;Gwen;Caitlyn;LeeSin;Leblanc;Heimerdinger;Lux;Rumble;Ashe;Warwick;Nautilus;Ornn;Jhin;Orianna;Vi;Sion;Renekton
14.1.547.8890;LOLTMNT99_125258;scrim| EIQ game 1 rmk;0;;;;;;Ornn;Lucian;Sion;Caitlyn;Milio;;;;;;Rell;Syndra;LeeSin;Orianna;Lux
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;-1;Amumu;Nocturne;Ashe;Akali;Leblanc;Lucian;Rell;Milio;Syndra;Sion;Rumble;Kalista;Varus;Neeko;Gwen;Caitlyn;LeeSin;Lux;Orianna;Ornn
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;0;Kalista;Nocturne;Varus;Nautilus;Rell;Rumble;XinZhao;Leblanc;Caitlyn;Senna;Poppy;Ashe;Rell;Rakan;Alistar;Orianna;LeeSin;Sylas;Ezreal;Heimerdinger
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;1;Poppy;Nocturne;Rell;Braum;Caitlyn;Ashe;XinZhao;Orianna;Jhin;Malphite;Rumble;Akali;Kalista;Nautilus;Renata;Varus;LeeSin;Leblanc;Rakan;Renekton
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;1;Kalista;Akali;Ashe;Rell;Nautilus;Varus;JarvanIV;Leblanc;Jayce;Malphite;Rumble;Renekton;Nocturne;Vi;LeeSin;Orianna;Xayah;Rakan;Poppy;Leona
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;1;Ashe;Nocturne;Kalista;Yasuo;Rakan;Lucian;Taliyah;Renekton;Rell;Azir;Rumble;Varus;Milio;Caitlyn;;Xayah;Gragas;Jax;Nautilus;Ziggs
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;0;Nocturne;Akali;Lucian;Neeko;Syndra;Kalista;XinZhao;Renata;Zoe;Gnar;Rumble;Varus;Ashe;Leblanc;Orianna;Caitlyn;LeeSin;Lux;Ahri;Ornn
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;1;Kalista;Nocturne;Rumble;Jayce;Tristana;Lucian;Taliyah;KSante;Jhin;Neeko;Varus;Ashe;Nautilus;Rell;Tristana;Elise;Caitlyn;Olaf;Syndra;Braum
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;0;Irelia;Ashe;Varus;Akali;Leblanc;Kalista;JarvanIV;Renata;Ornn;Kennen;Rumble;Lucian;Orianna;Neeko;Jax;Nocturne;Xayah;Blitzcrank;Azir;Ziggs
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;0;Kalista;Leblanc;Varus;Orianna;Azir;Nocturne;Kaisa;Rakan;Swain;Sylas;Lucian;Rumble;Ashe;Malphite;Sion;Akali;Xayah;Rell;LeeSin;Jayce
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;0;Kalista;Ashe;Lucian;Jax;Lux;Nocturne;Caitlyn;Swain;Gwen;Soraka;Varus;Rumble;Leblanc;Malphite;Sion;Xayah;Akali;Talon;KSante;Heimerdinger
14.1.547.8890;LOLTMNT99_116973;scrim|BAR G4;1;Kalista;Nocturne;Lucian;Azir;Orianna;Varus;TwistedFate;LeeSin;Nautilus;Heimerdinger;Rumble;Rell;Belveth;Braum;;Ashe;Akali;Viego;Ahri;Vi
14.1.547.8890;LOLTMNT99_116895;scrim|BAR G3;0;Kalista;Leblanc;Nocturne;LeeSin;Graves;Lucian;Elise;Renekton;Zeri;Taliyah;Varus;Rumble;Nami;Caitlyn;Blitzcrank;Xayah;Rell;Ornn;Rakan;Nautilus
14.1.547.8890;LOLTMNT99_116826;scrims|BAR G2;0;Kalista;Nocturne;Rell;Gwen;Gnar;Varus;LeeSin;TwistedFate;Aatrox;Nautilus;Rumble;Lucian;Leblanc;Vi;JarvanIV;Ashe;Akali;KSante;Viego;Rakan
14.1.547.8890;LOLTMNT99_116774;scrim| BAR G1;0;Kalista;Leblanc;Rumble;Akali;Gwen;Nocturne;Caitlyn;Lux;KSante;Malphite;Varus;Ashe;Orianna;Azir;;Xayah;Rakan;LeeSin;Neeko;Syndra
14.1.547.8890;LOLTMNT99_116334;scrim| game5mck;0;Kalista;Nocturne;Rell;Poppy;Gwen;Ashe;LeeSin;Leblanc;Mordekaiser;Karma;Rumble;Lucian;Akali;Gnar;KSante;Varus;JarvanIV;Ahri;Ornn;Thresh
14.1.547.8890;LOLTMNT99_116258;scrim| game4mck;0;Kalista;Nocturne;Varus;Orianna;Leblanc;Rell;Aphelios;KSante;Hwei;Ziggs;Rumble;Lucian;Ashe;Chogath;Sion;Nidalee;Senna;Poppy;Tristana;XinZhao
14.1.547.8890;LOLTMNT99_117133;scrim| game3mck;1;Kalista;Ashe;Varus;JarvanIV;LeeSin;Rell;Ziggs;KSante;Yone;Leblanc;Rumble;Nocturne;Lucian;Vi;Poppy;Xayah;Rakan;Gnar;Maokai;Bard
14.1.547.8890;LOLTMNT99_117100;scrim| game2mck;1;;;;;;Jayce;Rell;Olaf;Senna;;;;;;;Vi;Orianna;LeeSin;Leblanc;Chogath
14.1.547.8890;LOLTMNT99_117069;scrim| game2mck;-1;Kalista;Nocturne;Varus;Poppy;Ornn;Rell;Aphelios;Orianna;Jayce;Olaf;Rumble;Lucian;Ashe;Thresh;;LeeSin;Senna;Leblanc;Chogath;Vi
14.1.547.8890;LOLTMNT99_117014;scrim| game1mck;1;Kalista;Ashe;Teemo;Nami;Braum;Lucian;Poppy;Orianna;Milio;Jayce;Rumble;Nocturne;Varus;Ornn;Trundle;Xayah;Rell;Syndra;Vi;Aatrox
