MatchName,MatchId,SummonerName,championName
13.19.535.4316,JDGvsT1,110853020184706759|game1,T1 Zeus,Aatrox
13.19.535.4316,JDGvsT1,110853020184706759|game1,T1 Oner,Rell
13.19.535.4316,JDGvsT1,110853020184706759|game1,T1 Faker,Orianna
13.19.535.4316,JDGvsT1,110853020184706759|game1,T1 Gumayusi,Jhin
13.19.535.4316,JDGvsT1,110853020184706759|game1,T1 Keria,Bard
13.19.535.4316,JDGvsT1,110853020184706759|game1,JDG 369,Rumble
13.19.535.4316,JDGvsT1,110853020184706759|game1,JDG Kanavi,Vi
13.19.535.4316,JDGvsT1,110853020184706759|game1,JDG knight,Akali
13.19.535.4316,JDGvsT1,110853020184706759|game1,JDG Ruler,Xayah
13.19.535.4316,JDGvsT1,110853020184706759|game1,JDG MISSING,Alistar
14.1.547.8890,LOLTMNT99_112229,cq|000160,TRV Diesel,Renekton
14.1.547.8890,LOLTMNT99_112229,cq|000160,GHG KingClueles,Graves
14.1.547.8890,LOLTMNT99_112229,cq|000160,COLD Cupic,Seraphine
14.1.547.8890,LOLTMNT99_112229,cq|000160,COLD Yozu,Nami
14.1.547.8890,LOLTMNT99_112229,cq|000160,FLY Jensen,Azir
14.1.547.8890,LOLTMNT99_112229,cq|000160,COLD Antcliff,Riven
14.1.547.8890,LOLTMNT99_112229,cq|000160,OLD RBM,Viego
14.1.547.8890,LOLTMNT99_112229,cq|000160,ISU CMD ATK,Brand
14.1.547.8890,LOLTMNT99_112229,cq|000160,TACO Red,Jhin
14.1.547.8890,LOLTMNT99_112229,cq|000160,APR Clyde,Nautilus
14.1.547.8890,LOLTMNT99_112248,cq|000163,TACO Nxi,Nocturne
14.1.547.8890,LOLTMNT99_112248,cq|000163,Jojopyun,TwistedFate
14.1.547.8890,LOLTMNT99_112248,cq|000163,Diamond,Renata
14.1.547.8890,LOLTMNT99_112248,cq|000163,Tenacity,Olaf
14.1.547.8890,LOLTMNT99_112248,cq|000163,TLHC Spawn,Varus
14.1.547.8890,LOLTMNT99_112248,cq|000163,COLD Yukino,Khazix
14.1.547.8890,LOLTMNT99_112248,cq|000163,KatEvolved,Zoe
14.1.547.8890,LOLTMNT99_112248,cq|000163,CCGE Bruhruto,Leona
14.1.547.8890,LOLTMNT99_112248,cq|000163,FLY Bwipo,Gragas
14.1.547.8890,LOLTMNT99_112248,cq|000163,Doublelift,Kaisa
14.1.547.8890,LOLTMNT99_112765,cq|000172,GIA Th3Antonio,Ornn
14.1.547.8890,LOLTMNT99_112765,cq|000172,ANO SPOOKY,Rell
14.1.547.8890,LOLTMNT99_112765,cq|000172,NORD OMON,Lucian
14.1.547.8890,LOLTMNT99_112765,cq|000172,SIN Strode,Zeri
14.1.547.8890,LOLTMNT99_112765,cq|000172,ZTA FGG,Bard
14.1.547.8890,LOLTMNT99_112765,cq|000172,NORD Velocity,Vayne
14.1.547.8890,LOLTMNT99_112765,cq|000172,SK Gilius,Elise
14.1.547.8890,LOLTMNT99_112765,cq|000172,AEG Shiganari,Varus
14.1.547.8890,LOLTMNT99_112765,cq|000172,RAAD Lucky,Braum
14.1.547.8890,LOLTMNT99_112765,cq|000172,GLR PiOk,Tristana
14.1.547.8890,LOLTMNT99_112857,cq|000174,TA Horder,Jax
14.1.547.8890,LOLTMNT99_112857,cq|000174,CFY Toasty,Hwei
14.1.547.8890,LOLTMNT99_112857,cq|000174,FEAR Minui,Jhin
14.1.547.8890,LOLTMNT99_112857,cq|000174,FEAR Rocks908,Bard
14.1.547.8890,LOLTMNT99_112857,cq|000174,CNV Shimmer,Mordekaiser
14.1.547.8890,LOLTMNT99_112857,cq|000174,ISU CMD ATK,Varus
14.1.547.8890,LOLTMNT99_112857,cq|000174,BOL Aizo,Udyr
14.1.547.8890,LOLTMNT99_112857,cq|000174,TL Yeon,Kaisa
14.1.547.8890,LOLTMNT99_112857,cq|000174,TL CoreJJ,Alistar
14.1.547.8890,LOLTMNT99_112857,cq|000174,TLHC Keel,Olaf
