Patch;MatchName;MatchId;SummonerName;championName
14.1.547.8890;LOLTMNT99_112857;cq|000174;TA Horder;Jax
14.1.547.8890;LOLTMNT99_112857;cq|000174;CFY Toasty;Hwei
14.1.547.8890;LOLTMNT99_112857;cq|000174;FEAR Minui;Jhin
14.1.547.8890;LOLTMNT99_112857;cq|000174;FEAR Rocks908;Bard
14.1.547.8890;LOLTMNT99_112857;cq|000174;CNV Shimmer;Mordekaiser
14.1.547.8890;LOLTMNT99_112857;cq|000174;ISU CMD ATK;Varus
14.1.547.8890;LOLTMNT99_112857;cq|000174;BOL Aizo;Udyr
14.1.547.8890;LOLTMNT99_112857;cq|000174;TL Yeon;Kaisa
14.1.547.8890;LOLTMNT99_112857;cq|000174;TL CoreJJ;Alistar
14.1.547.8890;LOLTMNT99_112857;cq|000174;TLHC Keel;Olaf
14.1.547.8890;LOLTMNT99_113766;cq|000173;ANO SPOOKY;Nocturne
14.1.547.8890;LOLTMNT99_113766;cq|000173;SIN Strode;Xayah
14.1.547.8890;LOLTMNT99_113766;cq|000173;ZTA Westlander;Kennen
14.1.547.8890;LOLTMNT99_113766;cq|000173;GIA Feisty;Lucian
14.1.547.8890;LOLTMNT99_113766;cq|000173;ZTA FGG;Rakan
14.1.547.8890;LOLTMNT99_113766;cq|000173;GK Deceiving;Hwei
14.1.547.8890;LOLTMNT99_113766;cq|000173;GENK Orion ;Varus
14.1.547.8890;LOLTMNT99_113766;cq|000173;NGX Klownz;Alistar
14.1.547.8890;LOLTMNT99_113766;cq|000173;LLS Buchi;KSante
14.1.547.8890;LOLTMNT99_113766;cq|000173;GSNS Thayger;Elise
14.1.547.8890;LOLTMNT99_112765;cq|000172;GIA Th3Antonio;Ornn
14.1.547.8890;LOLTMNT99_112765;cq|000172;ANO SPOOKY;Rell
14.1.547.8890;LOLTMNT99_112765;cq|000172;NORD OMON;Lucian
14.1.547.8890;LOLTMNT99_112765;cq|000172;SIN Strode;Zeri
14.1.547.8890;LOLTMNT99_112765;cq|000172;ZTA FGG;Bard
14.1.547.8890;LOLTMNT99_112765;cq|000172;NORD Velocity;Vayne
14.1.547.8890;LOLTMNT99_112765;cq|000172;SK Gilius;Elise
14.1.547.8890;LOLTMNT99_112765;cq|000172;AEG Shiganari;Varus
14.1.547.8890;LOLTMNT99_112765;cq|000172;RAAD Lucky;Braum
14.1.547.8890;LOLTMNT99_112765;cq|000172;GLR PiOk;Tristana
14.1.547.8890;LOLTMNT99_113251;cq|000171;COLD Antcliff;Riven
14.1.547.8890;LOLTMNT99_113251;cq|000171;TA Leemo;Sejuani
14.1.547.8890;LOLTMNT99_113251;cq|000171;TL CoreJJ;Lux
14.1.547.8890;LOLTMNT99_113251;cq|000171;AOE DARKWINGS;Hwei
14.1.547.8890;LOLTMNT99_113251;cq|000171;TRV InoriB;Caitlyn
14.1.547.8890;LOLTMNT99_113251;cq|000171;MU Niles;Olaf
14.1.547.8890;LOLTMNT99_113251;cq|000171;BOG RJS;Viktor
14.1.547.8890;LOLTMNT99_113251;cq|000171;FLY Bwipo;LeeSin
14.1.547.8890;LOLTMNT99_113251;cq|000171;CAT avril;Jhin
14.1.547.8890;LOLTMNT99_113251;cq|000171;FLY Busio;Bard
14.1.547.8890;LOLTMNT99_113248;cq|000170;Jojopyun;TwistedFate
14.1.547.8890;LOLTMNT99_113248;cq|000170;COLD Yukino;Khazix
14.1.547.8890;LOLTMNT99_113248;cq|000170;Tenacity;Aatrox
14.1.547.8890;LOLTMNT99_113248;cq|000170;DIG Tomo;Lucian
14.1.547.8890;LOLTMNT99_113248;cq|000170;DIG Isles;Nami
14.1.547.8890;LOLTMNT99_113248;cq|000170;ISU CMD ATK;Brand
14.1.547.8890;LOLTMNT99_113248;cq|000170;AOE Breezy;Heimerdinger
14.1.547.8890;LOLTMNT99_113248;cq|000170;TLHC Jenkins;Gnar
14.1.547.8890;LOLTMNT99_113248;cq|000170;Spica;Graves
14.1.547.8890;LOLTMNT99_113248;cq|000170;Doublelift;Jhin
14.1.547.8890;LOLTMNT99_113230;cq|000169;COLD Antcliff;Garen
14.1.547.8890;LOLTMNT99_113230;cq|000169;BOG RJS;Syndra
14.1.547.8890;LOLTMNT99_113230;cq|000169;WC Lens;Jinx
14.1.547.8890;LOLTMNT99_113230;cq|000169;CCGE Bruhruto;Pyke
14.1.547.8890;LOLTMNT99_113230;cq|000169;FLY Bwipo;Rumble
14.1.547.8890;LOLTMNT99_113230;cq|000169;MU Niles;Pantheon
14.1.547.8890;LOLTMNT99_113230;cq|000169;TACO Nxi;Elise
14.1.547.8890;LOLTMNT99_113230;cq|000169;AOE DARKWINGS;Jayce
14.1.547.8890;LOLTMNT99_113230;cq|000169;TRV InoriB;Aphelios
14.1.547.8890;LOLTMNT99_113230;cq|000169;FLY Busio;Heimerdinger
14.1.547.8890;LOLTMNT99_113227;cq|000168;COLD Yukino;Rengar
14.1.547.8890;LOLTMNT99_113227;cq|000168;KatEvolved;Syndra
14.1.547.8890;LOLTMNT99_113227;cq|000168;CAT avril;Caitlyn
14.1.547.8890;LOLTMNT99_113227;cq|000168;Billy1;Zyra
14.1.547.8890;LOLTMNT99_113227;cq|000168;TLHC Jenkins;Sejuani
14.1.547.8890;LOLTMNT99_113227;cq|000168;CNV Shimmer;Jax
14.1.547.8890;LOLTMNT99_113227;cq|000168;AOE Breezy;Nautilus
14.1.547.8890;LOLTMNT99_113227;cq|000168;Jojopyun;Sylas
14.1.547.8890;LOLTMNT99_113227;cq|000168;Tenacity;Jayce
14.1.547.8890;LOLTMNT99_113227;cq|000168;Doublelift;Aphelios
14.1.547.8890;LOLTMNT99_113213;cq|000167;LIT Dragoon;Mordekaiser
14.1.547.8890;LOLTMNT99_113213;cq|000167;TL CoreJJ;TahmKench
14.1.547.8890;LOLTMNT99_113213;cq|000167;LIT Messages;Akali
14.1.547.8890;LOLTMNT99_113213;cq|000167;TL Yeon;Aphelios
14.1.547.8890;LOLTMNT99_113213;cq|000167;TLHC Keel;Viego
14.1.547.8890;LOLTMNT99_113213;cq|000167;NRG Dhokla;Yone
14.1.547.8890;LOLTMNT99_113213;cq|000167;TL APA;Galio
14.1.547.8890;LOLTMNT99_113213;cq|000167;Spica;Gragas
14.1.547.8890;LOLTMNT99_113213;cq|000167;DIG Tomo;Kalista
14.1.547.8890;LOLTMNT99_113213;cq|000167;DIG Isles;Renata
14.1.547.8890;LOLTMNT99_113199;cq|000166;COLD Yukino;Rengar
14.1.547.8890;LOLTMNT99_113199;cq|000166;KatEvolved;Hwei
14.1.547.8890;LOLTMNT99_113199;cq|000166;FLY Bwipo;KSante
14.1.547.8890;LOLTMNT99_113199;cq|000166;FLYC sajed;Lucian
14.1.547.8890;LOLTMNT99_113199;cq|000166;FLY Busio;TahmKench
14.1.547.8890;LOLTMNT99_113199;cq|000166;Jojopyun;TwistedFate
14.1.547.8890;LOLTMNT99_113199;cq|000166;AOE Breezy;Karma
14.1.547.8890;LOLTMNT99_113199;cq|000166;TACO Nxi;Belveth
14.1.547.8890;LOLTMNT99_113199;cq|000166;Tenacity;Olaf
14.1.547.8890;LOLTMNT99_113199;cq|000166;Doublelift;Caitlyn
14.1.547.8890;LOLTMNT99_113191;cq|000165;MU Niles;Kennen
14.1.547.8890;LOLTMNT99_113191;cq|000165;CNV Shimmer;Jax
14.1.547.8890;LOLTMNT99_113191;cq|000165;BOG RJS;Ahri
14.1.547.8890;LOLTMNT99_113191;cq|000165;WC Lens;Lucian
14.1.547.8890;LOLTMNT99_113191;cq|000165;Billy1;Nami
14.1.547.8890;LOLTMNT99_113191;cq|000165;ISU CMD ATK;Ziggs
14.1.547.8890;LOLTMNT99_113191;cq|000165;BOL Aizo;Ornn
14.1.547.8890;LOLTMNT99_113191;cq|000165;OLD RBM;Graves
14.1.547.8890;LOLTMNT99_113191;cq|000165;TRV InoriB;Aphelios
14.1.547.8890;LOLTMNT99_113191;cq|000165;APR Clyde;Nautilus
14.1.547.8890;LOLTMNT99_113188;cq|000164;TL CoreJJ;Karma
14.1.547.8890;LOLTMNT99_113188;cq|000164;LIT Dragoon;Aatrox
14.1.547.8890;LOLTMNT99_113188;cq|000164;LIT Messages;Yone
14.1.547.8890;LOLTMNT99_113188;cq|000164;TL Yeon;Varus
14.1.547.8890;LOLTMNT99_113188;cq|000164;TLHC Keel;Evelynn
14.1.547.8890;LOLTMNT99_113188;cq|000164;TL APA;KSante
14.1.547.8890;LOLTMNT99_113188;cq|000164;Spica;Brand
14.1.547.8890;LOLTMNT99_113188;cq|000164;TLHC Jenkins;Warwick
14.1.547.8890;LOLTMNT99_113188;cq|000164;DIG Tomo;Jhin
14.1.547.8890;LOLTMNT99_113188;cq|000164;DIG Isles;Rell
14.1.547.8890;LOLTMNT99_112248;cq|000163;TACO Nxi;Nocturne
14.1.547.8890;LOLTMNT99_112248;cq|000163;Jojopyun;TwistedFate
14.1.547.8890;LOLTMNT99_112248;cq|000163;Diamond;Renata
14.1.547.8890;LOLTMNT99_112248;cq|000163;Tenacity;Olaf
14.1.547.8890;LOLTMNT99_112248;cq|000163;TLHC Spawn;Varus
14.1.547.8890;LOLTMNT99_112248;cq|000163;COLD Yukino;Khazix
14.1.547.8890;LOLTMNT99_112248;cq|000163;KatEvolved;Zoe
14.1.547.8890;LOLTMNT99_112248;cq|000163;CCGE Bruhruto;Leona
14.1.547.8890;LOLTMNT99_112248;cq|000163;FLY Bwipo;Gragas
14.1.547.8890;LOLTMNT99_112248;cq|000163;Doublelift;Kaisa
14.1.547.8890;LOLTMNT99_113183;cq|000162;TRV Diesel;Rumble
14.1.547.8890;LOLTMNT99_113183;cq|000162;OLD RBM;JarvanIV
14.1.547.8890;LOLTMNT99_113183;cq|000162;BOG RJS;Lucian
14.1.547.8890;LOLTMNT99_113183;cq|000162;APR Clyde;Nautilus
14.1.547.8890;LOLTMNT99_113183;cq|000162;CAT avril;Syndra
14.1.547.8890;LOLTMNT99_113183;cq|000162;ISU CMD ATK;Galio
14.1.547.8890;LOLTMNT99_113183;cq|000162;COLD Antcliff;Akshan
14.1.547.8890;LOLTMNT99_113183;cq|000162;CNV Shimmer;Nocturne
14.1.547.8890;LOLTMNT99_113183;cq|000162;COLD Cupic;Nami
14.1.547.8890;LOLTMNT99_113183;cq|000162;COLD Yozu;Hwei
14.1.547.8890;LOLTMNT99_113180;cq|000161;BOL Aizo;Yone
14.1.547.8890;LOLTMNT99_113180;cq|000161;TL APA;Sion
