Patch;MatchName;MatchId;SummonerName;championName
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;WBG TheShy;Graves
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;WBG Weiwei;Poppy
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;WBG Xiaohu;Syndra
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;WBG Light;Varus
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;WBG Crisp;Ashe
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;BLG Bin;Aatrox
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;BLG XUN;Vi
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;BLG Yagao;Akali
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;BLG Elk;Kalista
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;BLG ON;Caitlyn
