Patch;MatchName;MatchId;SummonerName;championName
14.1.551.6434;LOLTMNT99_132785;;BAR WhiteKnight;Malphite
14.1.551.6434;LOLTMNT99_132785;;BAR Pridestalkr;Khazix
14.1.551.6434;LOLTMNT99_132785;;BAR Sajator;Akali
14.1.551.6434;LOLTMNT99_132785;;BAR Legolas;Varus
14.1.551.6434;LOLTMNT99_132785;;BAR Hustlin;Heimerdinger
14.1.551.6434;LOLTMNT99_132785;;AEG Agresivoo;Gwen
14.1.551.6434;LOLTMNT99_132785;;AEG Ryuzaki;LeeSin
14.1.551.6434;LOLTMNT99_132785;;AEG Nafkelah;Orianna
14.1.551.6434;LOLTMNT99_132785;;AEG Hid0;Ashe
14.1.551.6434;LOLTMNT99_132785;;AEG Veignorem;Caitlyn
14.1.551.6434;LOLTMNT99_132720;;AEG Agresivoo;Rumble
14.1.551.6434;LOLTMNT99_132720;;AEG Ryuzaki;Vi
14.1.551.6434;LOLTMNT99_132720;;AEG Nafkelah;Azir
14.1.551.6434;LOLTMNT99_132720;;AEG Hid0;Xayah
14.1.551.6434;LOLTMNT99_132720;;AEG Veignorem;Alistar
14.1.551.6434;LOLTMNT99_132720;;BAR WhiteKnight;Aatrox
14.1.551.6434;LOLTMNT99_132720;;BAR Pridestalkr;Rell
14.1.551.6434;LOLTMNT99_132720;;BAR Sajator;Sylas
14.1.551.6434;LOLTMNT99_132720;;BAR Legolas;Lucian
14.1.551.6434;LOLTMNT99_132720;;BAR Hustlin;Nami
14.1.551.6434;LOLTMNT99_131675;;AEG Agresivoo;Rumble
14.1.551.6434;LOLTMNT99_131675;;AEG Ryuzaki;Vi
14.1.551.6434;LOLTMNT99_131675;;AEG Nafkelah;Azir
14.1.551.6434;LOLTMNT99_131675;;AEG Hid0;Xayah
14.1.551.6434;LOLTMNT99_131675;;AEG Veignorem;Alistar
14.1.551.6434;LOLTMNT99_131675;;BAR WhiteKnight;Aatrox
14.1.551.6434;LOLTMNT99_131675;;BAR Pridestalkr;Rell
14.1.551.6434;LOLTMNT99_131675;;BAR Sajator;Sylas
14.1.551.6434;LOLTMNT99_131675;;BAR Legolas;Lucian
14.1.551.6434;LOLTMNT99_131675;;BAR Hustlin;Nami
14.1.551.6434;LOLTMNT99_131606;;BAR WhiteKnight;Ornn
14.1.551.6434;LOLTMNT99_131606;;BAR Pridestalkr;JarvanIV
14.1.551.6434;LOLTMNT99_131606;;BAR Sajator;Akali
14.1.551.6434;LOLTMNT99_131606;;BAR Legolas;Varus
14.1.551.6434;LOLTMNT99_131606;;BAR Hustlin;Heimerdinger
14.1.551.6434;LOLTMNT99_131606;;AEG Agresivoo;Aatrox
14.1.551.6434;LOLTMNT99_131606;;AEG Ryuzaki;Nocturne
14.1.551.6434;LOLTMNT99_131606;;AEG Nafkelah;TwistedFate
14.1.551.6434;LOLTMNT99_131606;;AEG Hid0;Ashe
14.1.551.6434;LOLTMNT99_131606;;AEG Veignorem;Rakan
14.1.551.6434;LOLTMNT99_132509;;AEG Agresivoo;Jax
14.1.551.6434;LOLTMNT99_132509;;AEG Ryuzaki;Elise
14.1.551.6434;LOLTMNT99_132509;;AEG Nafkelah;Syndra
14.1.551.6434;LOLTMNT99_132509;;AEG Hid0;Caitlyn
14.1.551.6434;LOLTMNT99_132509;;AEG Veignorem;Lux
14.1.551.6434;LOLTMNT99_132509;;BAR WhiteKnight;Malphite
14.1.551.6434;LOLTMNT99_132509;;BAR Pridestalkr;LeeSin
14.1.551.6434;LOLTMNT99_132509;;BAR Sajator;Orianna
14.1.551.6434;LOLTMNT99_132509;;BAR Legolas;Jinx
14.1.551.6434;LOLTMNT99_132509;;BAR Hustlin;Blitzcrank
14.1.551.6434;LOLTMNT99_132404;;BAR WhiteKnight;KSante
14.1.551.6434;LOLTMNT99_132404;;BAR Pridestalkr;XinZhao
14.1.551.6434;LOLTMNT99_132404;;BAR Sajator;Orianna
14.1.551.6434;LOLTMNT99_132404;;BAR Legolas;Xayah
14.1.551.6434;LOLTMNT99_132404;;BAR Hustlin;Rakan
14.1.551.6434;LOLTMNT99_132404;;AEG Agresivoo;Malphite
14.1.551.6434;LOLTMNT99_132404;;AEG Ryuzaki;LeeSin
14.1.551.6434;LOLTMNT99_132404;;AEG Nafkelah;Leblanc
14.1.551.6434;LOLTMNT99_132404;;AEG Hid0;Kaisa
14.1.551.6434;LOLTMNT99_132404;;AEG Veignorem;Leona
14.1.547.8890;LOLTMNT99_127783;;AEG Agresivoo;Rumble
14.1.547.8890;LOLTMNT99_127783;;AEG Ryuzaki;Viego
14.1.547.8890;LOLTMNT99_127783;;AEG Nafkelah;Azir
14.1.547.8890;LOLTMNT99_127783;;AEG Hid0;Jhin
14.1.547.8890;LOLTMNT99_127783;;AEG Veignorem;Nautilus
14.1.547.8890;LOLTMNT99_127783;;HRTS Carlsen;Karma
14.1.547.8890;LOLTMNT99_127783;;HRTS Xerxe;XinZhao
14.1.547.8890;LOLTMNT99_127783;;HRTS Zwyroo;Leblanc
14.1.547.8890;LOLTMNT99_127783;;HRTS Jackspektra;Ashe
14.1.547.8890;LOLTMNT99_127783;;HRTS whiteinn;TahmKench
14.1.547.8890;LOLTMNT99_126859;;HRTS Carlsen;Renekton
14.1.547.8890;LOLTMNT99_126859;;HRTS Xerxe;Rell
14.1.547.8890;LOLTMNT99_126859;;HRTS Zwyroo;Orianna
14.1.547.8890;LOLTMNT99_126859;;HRTS Jackspektra;Xayah
14.1.547.8890;LOLTMNT99_126859;;HRTS whiteinn;Ashe
14.1.547.8890;LOLTMNT99_126859;;AEG Agresivoo;Malphite
14.1.547.8890;LOLTMNT99_126859;;AEG Ryuzaki;Gragas
14.1.547.8890;LOLTMNT99_126859;;AEG Nafkelah;Irelia
14.1.547.8890;LOLTMNT99_126859;;AEG Hid0;Varus
14.1.547.8890;LOLTMNT99_126859;;AEG Veignorem;Rakan
14.1.547.8890;LOLTMNT99_127623;;AEG Agresivoo;Gragas
14.1.547.8890;LOLTMNT99_127623;;AEG Ryuzaki;Viego
14.1.547.8890;LOLTMNT99_127623;;AEG Nafkelah;TwistedFate
14.1.547.8890;LOLTMNT99_127623;;AEG Hid0;Varus
14.1.547.8890;LOLTMNT99_127623;;AEG Veignorem;TahmKench
